step,process,status,source,table_name,etl_date
warehouse | raw,load,success,staging,currency,2025-01-13 17:44:06
warehouse | raw,load,success,staging,person,2025-01-13 17:44:06
warehouse | raw,load,success,staging,employee,2025-01-13 17:44:06
warehouse | raw,load,success,staging,product,2025-01-13 17:44:06
warehouse | raw,load,success,staging,shipmethod,2025-01-13 17:44:06
warehouse | raw,load,success,staging,currencyrate,2025-01-13 17:44:06
warehouse | raw,load,success,staging,salesreason,2025-01-13 17:44:06
warehouse | raw,load,success,staging,salesterritory,2025-01-13 17:44:06
warehouse | raw,load,success,staging,specialoffer,2025-01-13 17:44:06
warehouse | raw,load,success,staging,salesperson,2025-01-13 17:44:07
warehouse | raw,load,success,staging,store,2025-01-13 17:44:07
warehouse | raw,load,success,staging,customer,2025-01-13 17:44:07
warehouse | raw,load,success,staging,specialofferproduct,2025-01-13 17:44:07
warehouse | raw,load,success,staging,salespersonquotahistory,2025-01-13 17:44:07
warehouse | raw,load,success,staging,salesterritoryhistory,2025-01-13 17:44:07
warehouse | raw,load,success,staging,shoppingcartitem,2025-01-13 17:44:07
warehouse | raw,load,success,staging,salesorderheader,2025-01-13 17:44:07
warehouse | raw,load,success,staging,salesorderdetail,2025-01-13 17:44:07
warehouse | raw,load,success,staging,salesorderheadersalesreason,2025-01-13 17:44:07
